SIGLA,NO_ENTIDADE,REDE,NU_PARTICIPANTES,MEDIA_CN,MEDIA_CH,MEDIA_MT,MEDIA_LC,MEDIA_REDACAO,MEDIA_GERAL, TAXA ,,,,,,,,,,,
AC,ESC GLORIA PEREZ,PUBLICA,195,447.81,506.05,448.28,481.98,560.22,471.03,46.4,TRUE,12027758,AC,ESC GLORIA PEREZ,public,506.05,447.81,481.98,448.28,471.03,420
AC,ESC HENRIQUE LIMA,PUBLICA,84,436.82,496.8,425.44,457.98,546,454.26,33.6,TRUE,12012564,AC,ESC HENRIQUE LIMA,public,496.8,436.82,457.98,425.44,454.26,250
AC,ESC HUMBERTO SOARES DA COSTA,PUBLICA,40,434.12,504.71,438.82,451.52,544.08,457.29,48.2,TRUE,12012017,AC,ESC HUMBERTO SOARES DA COSTA,public,504.71,434.12,451.52,438.82,457.29,83
AC,ESC INST ORFANOLOGICO SANTA TERESINHA,PRIVADA,36,518.91,586.59,527.17,564.99,700,549.42,76.6,TRUE,12001686,AC,ESC INST ORFANOLOGICO SANTA TERESINHA,private,586.59,518.91,564.99,527.17,549.42,47
AC,ESC INSTITUTO DE EDUCACAO LOURENCO FILHO,PUBLICA,45,431.13,490.46,436.91,469.79,522.73,457.07,47.1,TRUE,12012580,AC,ESC INSTITUTO DE EDUCACAO LOURENCO FILHO,public,490.46,431.13,469.79,436.91,457.07,96
AC,ESC INSTITUTO IMACULADA CONCEICAO,PRIVADA,35,539.57,573.29,540.6,546.38,641.43,549.96,83.3,TRUE,12014370,AC,ESC INSTITUTO IMACULADA CONCEICAO,private,573.29,539.57,546.38,540.6,549.96,42
AC,ESC INSTITUTO SAO JOSE,PUBLICA,58,509.64,572.53,529.42,530.54,654.02,535.54,63.7,TRUE,12014389,AC,ESC INSTITUTO SAO JOSE,public,572.53,509.64,530.54,529.42,535.54,91
AC,ESC JADER SARAIVA MACHADO,PUBLICA,33,421.05,484.08,425.75,452.07,512.88,445.74,54,TRUE,12015342,AC,ESC JADER SARAIVA MACHADO,public,484.08,421.05,452.07,425.75,445.74,61
AC,ESC JOANA RIBEIRO AMED,PUBLICA,55,445.04,503.56,439.08,473.2,592.92,465.22,26.3,TRUE,12017108,AC,ESC JOANA RIBEIRO AMED,public,503.56,445.04,473.2,439.08,465.22,209
AC,ESC JOAO RICARDO DE FREITAS,PUBLICA,53,425.81,486.45,425.88,456.58,546.7,448.68,42.4,TRUE,12023779,AC,ESC JOAO RICARDO DE FREITAS,public,486.45,425.81,456.58,425.88,448.68,125
AC,ESC JORNALISTA ARMANDO NOGUEIRA,PUBLICA,229,447.49,508.87,453.52,485.83,564.7,473.93,48.5,TRUE,12028037,AC,ESC JORNALISTA ARMANDO NOGUEIRA,public,508.87,447.49,485.83,453.52,473.93,472
AC,ESC JOSE GURGEL RABELO,PUBLICA,104,428.28,495.51,430.4,453.66,563.01,451.96,30.7,TRUE,12004197,AC,ESC JOSE GURGEL RABELO,public,495.51,428.28,453.66,430.4,451.96,339
AC,ESC JOSE RIBAMAR BATISTA,PUBLICA,212,435.59,489.2,436.33,465.33,528.52,456.61,42.4,TRUE,12028860,AC,ESC JOSE RIBAMAR BATISTA,public,489.2,435.59,465.33,436.33,456.61,500
AC,ESC KAIRALA JOSE KAIRALA,PUBLICA,50,453.36,515.28,465.55,489.67,555.1,480.97,33.1,TRUE,12016284,AC,ESC KAIRALA JOSE KAIRALA,public,515.28,453.36,489.67,465.55,480.97,151
AC,ESC LEONCIO DE CARVALHO,PUBLICA,29,454.78,515.59,451,472.51,581.03,473.47,23.6,TRUE,12012750,AC,ESC LEONCIO DE CARVALHO,public,515.59,454.78,472.51,451,473.47,123
AC,ESC LOURIVAL PINHO,PUBLICA,92,440.4,502.34,447.29,462.96,514.49,463.25,23.5,TRUE,12027340,AC,ESC LOURIVAL PINHO,public,502.34,440.4,462.96,447.29,463.25,391
AC,ESC LOURIVAL SOMBRA PEREIRA LIMA,PUBLICA,34,442.99,498.69,417.79,466.99,516.67,456.61,58.2,TRUE,12013013,AC,ESC LOURIVAL SOMBRA PEREIRA LIMA,public,498.69,442.99,466.99,417.79,456.61,58
AC,ESC MANOEL BRAZ DE MELO,PUBLICA,40,419.71,471.02,395.44,430.61,535.42,429.2,72.7,TRUE,12000930,AC,ESC MANOEL BRAZ DE MELO,public,471.02,419.71,430.61,395.44,429.2,55
AC,ESC MARCILIO PONTES DOS SANTOS,PUBLICA,41,446.93,498.46,445.64,462.69,523.17,463.43,33.4,TRUE,12021768,AC,ESC MARCILIO PONTES DOS SANTOS,public,498.46,446.93,462.69,445.64,463.43,123
AC,ESC NAZIRA ANUTE DE LIMA,PUBLICA,16,436.76,505.74,442.96,473.08,537.5,464.63,16.3,TRUE,12006920,AC,ESC NAZIRA ANUTE DE LIMA,public,505.74,436.76,473.08,442.96,464.63,98
AC,ESC PROF BERTA VIEIRA DE ANDRADE,PUBLICA,35,426.16,484.31,442.85,452.19,519.53,451.38,48.2,TRUE,12013374,AC,ESC PROF BERTA VIEIRA DE ANDRADE,public,484.31,426.16,452.19,442.85,451.38,73
AC,ESC PROF CLICIA GADELHA,PUBLICA,21,441.02,495.89,452.71,471.17,561.9,465.2,16.9,TRUE,12052221,AC,ESC PROF CLICIA GADELHA,public,495.89,441.02,471.17,452.71,465.2,124
AC,ESC PROF HELOISA MOURAO MARQUES,PUBLICA,127,441.41,500.63,440.03,473.81,544.12,463.97,55.5,TRUE,12012556,AC,ESC PROF HELOISA MOURAO MARQUES,public,500.63,441.41,473.81,440.03,463.97,229
AC,ESC PROF IRIS CELIA CABANELLAS ZANNINI,PUBLICA,32,437.28,507.42,441.54,463.18,545.83,462.35,41.8,TRUE,12015946,AC,ESC PROF IRIS CELIA CABANELLAS ZANNINI,public,507.42,437.28,463.18,441.54,462.35,77
AC,ESC PROF JOSE RODRIGUES LEITE,PUBLICA,239,471.36,528.83,479.94,501.99,589.48,495.53,69.9,TRUE,12012181,AC,ESC PROF JOSE RODRIGUES LEITE,public,528.83,471.36,501.99,479.94,495.53,342
AC,ESC SAO JOAO BATISTA,PUBLICA,39,444.46,493.83,438.43,459.86,529.29,459.14,58.9,TRUE,12009369,AC,ESC SAO JOAO BATISTA,public,493.83,444.46,459.86,438.43,459.14,66
AC,ESC SAO LUIZ GONZAGA,PUBLICA,21,427.96,477.45,442,449.41,521.05,449.21,29,TRUE,12010731,AC,ESC SAO LUIZ GONZAGA,public,477.45,427.96,449.41,442,449.21,72
AC,ESC SEBASTIAO PEDROSA,PUBLICA,100,436.83,507.54,440.74,471.71,547.89,464.2,45.7,TRUE,12044822,AC,ESC SEBASTIAO PEDROSA,public,507.54,436.83,471.71,440.74,464.2,219
AL,ALTERNATIVA ESCOLA DE EDUCACAO BASICA,PRIVADA,34,518.21,577.01,532.85,541.84,671.32,542.48,54.8,TRUE,27224821,AL,ALTERNATIVA ESCOLA DE EDUCACAO BASICA,private,577.01,518.21,541.84,532.85,542.48,62
AL,CENTRO DE ESTUDOS PSICOPEDAGOGICOS LTDA,PRIVADA,18,543.86,610.93,591.46,567.84,679.41,578.53,64.3,TRUE,27034585,AL,CENTRO DE ESTUDOS PSICOPEDAGOGICOS LTDA,private,610.93,543.86,567.84,591.46,578.53,28
AL,CENTRO EDUCACIONAL CRISTO REDENTOR,PRIVADA,44,521.14,579.56,550.12,548.6,658.14,549.86,71,TRUE,27013901,AL,CENTRO EDUCACIONAL CRISTO REDENTOR,private,579.56,521.14,548.6,550.12,549.86,62
AL,CENTRO EDUCACIONAL DE CORURIPE,PRIVADA,12,494.98,539.13,515.07,520.68,660.42,517.46,92.3,TRUE,27224392,AL,CENTRO EDUCACIONAL DE CORURIPE,private,539.13,494.98,520.68,515.07,517.46,13
AL,CENTRO EDUCACIONAL JORGE ASSUNCAO,PRIVADA,11,476.65,514.28,456.05,499.86,592.5,486.71,10.5,TRUE,27216381,AL,CENTRO EDUCACIONAL JORGE ASSUNCAO,private,514.28,476.65,499.86,456.05,486.71,105
AL,COC - MACEIO,PRIVADA,52,571.84,638.22,652.91,588.43,700.98,612.85,58.4,TRUE,27218180,AL,COC - MACEIO,private,638.22,571.84,588.43,652.91,612.85,89
AL,COLEGIO ADVENTISTA DE MACEIO,PRIVADA,60,530.22,578.67,561.31,549.11,669.07,554.83,58.8,TRUE,27225909,AL,COLEGIO ADVENTISTA DE MACEIO,private,578.67,530.22,549.11,561.31,554.83,102
AL,COLEGIO ANCHIETA,PRIVADA,30,516.5,581.43,536.55,534.12,621.55,542.15,33.3,TRUE,27035018,AL,COLEGIO ANCHIETA,private,581.43,516.5,534.12,536.55,542.15,90
AL,COLEGIO ATHENEU,PRIVADA,41,494.56,550.66,524.29,523.99,695.73,523.37,47.7,TRUE,27034780,AL,COLEGIO ATHENEU,private,550.66,494.56,523.99,524.29,523.37,86
