SIGLA,NO_ENTIDADE,REDE,NU_PARTICIPANTES,MEDIA_CN,MEDIA_CH,MEDIA_MT,MEDIA_LC,MEDIA_REDACAO,MEDIA_GERAL, TAXA ,,,,,,,,,,,
BA,EE - COLEGIO ESTADUAL SENHOR DO BONFIM,PUBLICA,166,458.22,515.32,444.85,490.97,584.88,477.34,35.2,TRUE,29181550,BA,EE - COLEGIO ESTADUAL SENHOR DO BONFIM,public,515.32,458.22,490.97,444.85,477.34,472
BA,EE - COLEGIO ESTADUAL SETE DE SETEMBRO,PUBLICA,22,423.65,520.94,422.96,478.46,579.76,461.5,14.4,TRUE,29404266,BA,EE - COLEGIO ESTADUAL SETE DE SETEMBRO,public,520.94,423.65,478.46,422.96,461.5,153
BA,EE - COLEGIO ESTADUAL SINESIO COSTA,PUBLICA,124,438.76,494.26,435.79,452.53,569.67,455.34,52.8,TRUE,29252555,BA,EE - COLEGIO ESTADUAL SINESIO COSTA,public,494.26,438.76,452.53,435.79,455.34,235
BA,EE - COLEGIO ESTADUAL SOFIA MASCARENHAS,PUBLICA,14,411.58,435.76,413.04,402.84,575,415.81,17.3,TRUE,29029732,BA,EE - COLEGIO ESTADUAL SOFIA MASCARENHAS,public,435.76,411.58,402.84,413.04,415.81,81
BA,EE - COLEGIO ESTADUAL TEIXEIRA DE FREITAS,PUBLICA,47,417.2,466.17,406.12,419.26,520.45,427.19,26.1,TRUE,29056144,BA,EE - COLEGIO ESTADUAL TEIXEIRA DE FREITAS,public,466.17,417.2,419.26,406.12,427.19,180
BA,EE - COLEGIO ESTADUAL TEOTONIO VILELA,PUBLICA,46,448.28,502,454.52,479.12,561.36,470.98,27.6,TRUE,29097665,BA,EE - COLEGIO ESTADUAL TEOTONIO VILELA,public,502,448.28,479.12,454.52,470.98,167
BA,EE - COLEGIO ESTADUAL TEREZA BORGES DE CERQUEIRA,PUBLICA,41,463.1,501.64,444.83,445.08,555.63,463.66,26.9,TRUE,29242231,BA,EE - COLEGIO ESTADUAL TEREZA BORGES DE CERQUEIRA,public,501.64,463.1,445.08,444.83,463.66,152
BA,EE - COLEGIO ESTADUAL TEREZA CONCEICAO MENEZES,PUBLICA,21,419.14,493.02,419.09,445,563.1,444.06,10,TRUE,29182050,BA,EE - COLEGIO ESTADUAL TEREZA CONCEICAO MENEZES,public,493.02,419.14,445,419.09,444.06,210
BA,EE - COLEGIO ESTADUAL THALES DE AZEVEDO,PUBLICA,337,485.64,548.21,501.07,519.28,612.8,513.55,70.9,TRUE,29357861,BA,EE - COLEGIO ESTADUAL THALES DE AZEVEDO,public,548.21,485.64,519.28,501.07,513.55,475
BA,EE - COLEGIO ESTADUAL TIRADENTES,PUBLICA,84,430.3,480.05,431.68,440.57,592.21,445.65,24.6,TRUE,29210399,BA,EE - COLEGIO ESTADUAL TIRADENTES,public,480.05,430.3,440.57,431.68,445.65,341
BA,EE - COLEGIO ESTADUAL TREZE DE JUNHO,PUBLICA,24,437.99,488.93,422.89,451.02,594.32,450.21,20.7,TRUE,29313171,BA,EE - COLEGIO ESTADUAL TREZE DE JUNHO,public,488.93,437.99,451.02,422.89,450.21,116
BA,EE - COLEGIO ESTADUAL UYARA PORTUGAL,PUBLICA,57,447.33,504.34,443.7,468.89,590.91,466.06,29.2,TRUE,29095166,BA,EE - COLEGIO ESTADUAL UYARA PORTUGAL,public,504.34,447.33,468.89,443.7,466.06,195
BA,EE - COLEGIO ESTADUAL VALMIR OLIVEIRA GOMES,PUBLICA,20,424.4,459.17,387.08,418.01,544.12,422.16,18.3,TRUE,29230608,BA,EE - COLEGIO ESTADUAL VALMIR OLIVEIRA GOMES,public,459.17,424.4,418.01,387.08,422.16,109
BA,EE - COLEGIO ESTADUAL VERA LUX,PUBLICA,25,410.34,481.5,418.5,449.84,521.88,440.04,21.6,TRUE,29191157,BA,EE - COLEGIO ESTADUAL VERA LUX,public,481.5,410.34,449.84,418.5,440.04,116
BA,EE - COLEGIO ESTADUAL VILA SAO JOAQUIM,PUBLICA,54,440.32,485.89,434.19,458.73,560.78,454.78,34.2,TRUE,29032334,BA,EE - COLEGIO ESTADUAL VILA SAO JOAQUIM,public,485.89,440.32,458.73,434.19,454.78,158
BA,EE - COLEGIO ESTADUAL VIRGILIO FRANCISCO PEREIRA,PUBLICA,40,457.74,516.41,454.1,482.65,557.24,477.73,35.8,TRUE,29140633,BA,EE - COLEGIO ESTADUAL VIRGILIO FRANCISCO PEREIRA,public,516.41,457.74,482.65,454.1,477.73,112
BA,EE - COLEGIO ESTADUAL VITOR SOARES,PUBLICA,39,469.65,536.99,469.26,499.5,588.51,493.85,46.2,TRUE,29188601,BA,EE - COLEGIO ESTADUAL VITOR SOARES,public,536.99,469.65,499.5,469.26,493.85,84
BA,EE - COLEGIO ESTADUAL WALTER BRANDAO,PUBLICA,63,444.96,510.68,434.97,469.35,582.5,464.99,22.5,TRUE,29053536,BA,EE - COLEGIO ESTADUAL WALTER BRANDAO,public,510.68,444.96,469.35,434.97,464.99,280
BA,EE - COLEGIO ESTADUAL WILSON LINS,PUBLICA,41,480.92,529.81,471.5,494.48,590.24,494.18,25.7,TRUE,29149380,BA,EE - COLEGIO ESTADUAL WILSON LINS,public,529.81,480.92,494.48,471.5,494.18,160
BA,EE - COLEGIO ESTADUAL YEDA BARRADAS CARNEIRO,PUBLICA,26,410.23,487.04,427.18,457.62,550,445.52,26.5,TRUE,29191173,BA,EE - COLEGIO ESTADUAL YEDA BARRADAS CARNEIRO,public,487.04,410.23,457.62,427.18,445.52,98
BA,EE - COLEGIO ESTADUAL YEDA BARRADAS CARNEIRO,PUBLICA,20,435.53,494.25,412.29,444.08,567.11,446.54,15.5,TRUE,29137845,BA,EE - COLEGIO ESTADUAL YEDA BARRADAS CARNEIRO,public,494.25,435.53,444.08,412.29,446.54,129
BA,EE - COLEGIO ESTADUAL YEDA BARRADAS CARNEIRO,PUBLICA,26,427.17,480,435.02,464.37,529,451.64,28,TRUE,29093570,BA,EE - COLEGIO ESTADUAL YEDA BARRADAS CARNEIRO,public,480,427.17,464.37,435.02,451.64,93
BA,EE - COLEGIO ESTADUAL YEDA BARRADAS CARNEIRO,PUBLICA,62,443.05,506.47,425.51,465.78,572.13,460.2,24.8,TRUE,29090865,BA,EE - COLEGIO ESTADUAL YEDA BARRADAS CARNEIRO,public,506.47,443.05,465.78,425.51,460.2,250
BA,EE - COLEGIO ESTADUAL YPIRANGA,PUBLICA,36,472.03,540.38,465.43,484.86,572.86,490.68,35.1,TRUE,29182182,BA,EE - COLEGIO ESTADUAL YPIRANGA,public,540.38,472.03,484.86,465.43,490.68,103
BA,EE - COLEGIO ESTADUAL ZULEIDE FREIRE DE ABREU,PUBLICA,55,471.66,523.62,481.63,469.16,589.71,486.52,39.6,TRUE,29335132,BA,EE - COLEGIO ESTADUAL ZULEIDE FREIRE DE ABREU,public,523.62,471.66,469.16,481.63,486.52,139
BA,EE - COLEGIO FLORESTAL,PUBLICA,85,441.36,491.13,435.46,439.7,562.5,451.91,49.1,TRUE,29437830,BA,EE - COLEGIO FLORESTAL,public,491.13,441.36,439.7,435.46,451.91,173
BA,EE - COLEGIO GEORGINA SOARES NASCIMENTO,PUBLICA,40,438.65,486.77,410.44,440.73,509.87,444.15,30.1,TRUE,29095190,BA,EE - COLEGIO GEORGINA SOARES NASCIMENTO,public,486.77,438.65,440.73,410.44,444.15,133
BA,EE - COLEGIO JOAO CAMPOS,PUBLICA,15,430.68,470.13,420.48,426.55,513.46,436.96,15.6,TRUE,29142709,BA,EE - COLEGIO JOAO CAMPOS,public,470.13,430.68,426.55,420.48,436.96,96
BA,EE - COLEGIO JOAQUIM MACHADO,PUBLICA,52,454,517.18,461.16,460.24,607.29,473.14,39.2,TRUE,29137144,BA,EE - COLEGIO JOAQUIM MACHADO,public,517.18,454,460.24,461.16,473.14,133
BA,EE - COLEGIO MARIA MADALENA DA SILVA,PUBLICA,14,416.33,486.81,427.86,442.82,592.86,443.46,10.5,TRUE,29441609,BA,EE - COLEGIO MARIA MADALENA DA SILVA,public,486.81,416.33,442.82,427.86,443.46,133
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,121,430.82,491.84,437.34,445.38,574.78,451.34,36.9,TRUE,29395321,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,491.84,430.82,445.38,437.34,451.34,328
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,179,443.57,512.12,430.66,468.43,567.47,463.69,46.3,TRUE,29394341,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,512.12,443.57,468.43,430.66,463.69,387
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,136,445.93,491.08,451.24,475.87,574.05,466.03,56.4,TRUE,29389976,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,491.08,445.93,475.87,451.24,466.03,241
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,169,452.91,505.11,443.24,468.92,560.06,467.55,66.3,TRUE,29433517,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,505.11,452.91,468.92,443.24,467.55,255
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,172,451.28,507.14,452.83,485.91,596.73,474.29,54.6,TRUE,29386284,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,507.14,451.28,485.91,452.83,474.29,315
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,180,456.08,509.53,469.28,473.97,569.07,477.21,64.3,TRUE,29403230,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,509.53,456.08,473.97,469.28,477.21,280
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,130,464.25,512.05,461.04,482.41,580.91,479.94,38.7,TRUE,29385334,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,512.05,464.25,482.41,461.04,479.94,336
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,296,464.37,517.69,458.71,483.05,589.9,480.95,74.4,TRUE,29390737,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,517.69,464.37,483.05,458.71,480.95,398
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,102,455.49,524.34,460.59,490.36,598.47,482.7,61.8,TRUE,29440211,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,524.34,455.49,490.36,460.59,482.7,165
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,148,458.69,519.94,461.74,491.84,581.16,483.05,55.8,TRUE,29393949,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,519.94,458.69,491.84,461.74,483.05,265
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,98,460.67,522.31,460.83,488.66,574.22,483.12,39.2,TRUE,29424020,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,522.31,460.67,488.66,460.83,483.12,250
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,57,454.95,513.32,473.76,492.39,588.6,483.6,29.5,TRUE,29436184,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,513.32,454.95,492.39,473.76,483.6,193
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,158,459.25,517.06,464.7,499.36,595.09,485.09,44.8,TRUE,29413680,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,517.06,459.25,499.36,464.7,485.09,353
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,83,468.52,510.83,477.61,486.36,564.51,485.83,41.7,TRUE,29390532,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,510.83,468.52,486.36,477.61,485.83,199
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,84,459.19,517.03,470.8,504.24,572.29,487.81,58.7,TRUE,29446651,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,517.03,459.19,504.24,470.8,487.81,143
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,325,466.82,521.78,472.13,492.57,559.36,488.33,66.5,TRUE,29392861,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,521.78,466.82,492.57,472.13,488.33,489
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,47,466.91,537.7,457.88,503.5,573.33,491.5,21.5,TRUE,29422345,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,537.7,466.91,503.5,457.88,491.5,219
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,107,467.34,525.62,480.09,497.01,596.88,492.52,62.9,TRUE,29428203,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,525.62,467.34,497.01,480.09,492.52,170
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,203,462.91,524.21,488.25,494.76,592.22,492.53,62.5,TRUE,29402830,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,524.21,462.91,494.76,488.25,492.53,325
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,43,482.73,528.79,477.75,488.62,583.13,494.47,18.5,TRUE,29392365,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,528.79,482.73,488.62,477.75,494.47,232
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,223,474.95,529.02,481.62,503.93,597.8,497.38,58.4,TRUE,29417163,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,529.02,474.95,503.93,481.62,497.38,382
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,146,484.47,558.88,482.38,510.5,612.32,509.05,74.9,TRUE,29416604,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,558.88,484.47,510.5,482.38,509.05,195
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,206,501.35,550.81,525.64,517.73,613.17,523.88,78.9,TRUE,29394414,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,550.81,501.35,517.73,525.64,523.88,261
BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,PUBLICA,450,499.48,562.64,515.37,522.29,611.67,524.95,79.1,TRUE,29387736,BA,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,public,562.64,499.48,522.29,515.37,524.95,569
BA,EE - COLEGIO MUNICIPAL ANTONIO FRANCISCO DE SOUZA,PUBLICA,43,422.29,478.23,419.35,442.9,513.1,440.69,33.3,TRUE,29226120,BA,EE - COLEGIO MUNICIPAL ANTONIO FRANCISCO DE SOUZA,public,478.23,422.29,442.9,419.35,440.69,129
BA,EE - COLEGIO MUNICIPAL BOA VISTA DO TUPIM,PUBLICA,49,425.32,493.45,427.77,438.34,583.7,446.22,13.6,TRUE,29081319,BA,EE - COLEGIO MUNICIPAL BOA VISTA DO TUPIM,public,493.45,425.32,438.34,427.77,446.22,360
BA,EE - COLEGIO MUNICIPAL CLOVIS ADOLPHO STOLZE,PUBLICA,14,434.61,497.31,414.05,458.36,576.79,451.08,9.2,TRUE,29309638,BA,EE - COLEGIO MUNICIPAL CLOVIS ADOLPHO STOLZE,public,497.31,434.61,458.36,414.05,451.08,152
BA,EE - COLEGIO MUNICIPAL PROFESSOR ROCHA PITA,PUBLICA,17,423.42,479.4,415.87,441.74,604.69,440.11,25.4,TRUE,29161770,BA,EE - COLEGIO MUNICIPAL PROFESSOR ROCHA PITA,public,479.4,423.42,441.74,415.87,440.11,67
BA,EE - COLEGIO NORMAL SAO PEDRO,PUBLICA,65,432.04,483.86,451.39,446.28,564.68,453.39,21.2,TRUE,29284104,BA,EE - COLEGIO NORMAL SAO PEDRO,public,483.86,432.04,446.28,451.39,453.39,307
BA,EE - COLEGIO NOSSA SENHORA AUXILIADORA,PUBLICA,27,434.91,477.69,427.8,444.19,515.74,446.14,21.8,TRUE,29226864,BA,EE - COLEGIO NOSSA SENHORA AUXILIADORA,public,477.69,434.91,444.19,427.8,446.14,124
BA,EE - COLEGIO NOSSA SENHORA DO ROSARIO,PUBLICA,57,450.67,489.2,435.01,456.8,548.11,457.92,50.1,TRUE,29036038,BA,EE - COLEGIO NOSSA SENHORA DO ROSARIO,public,489.2,450.67,456.8,435.01,457.92,114
BA,EE - COLEGIO POLIVALENTE DE ALAGOINHAS,PUBLICA,48,429.55,506.24,422.53,444.78,530.56,450.78,16.3,TRUE,29149886,BA,EE - COLEGIO POLIVALENTE DE ALAGOINHAS,public,506.24,429.55,444.78,422.53,450.78,294
BA,EE - COLEGIO POLIVALENTE DE CARAVELAS,PUBLICA,56,430.51,494.86,438.52,463.28,555.39,456.79,19.2,TRUE,29317789,BA,EE - COLEGIO POLIVALENTE DE CARAVELAS,public,494.86,430.51,463.28,438.52,456.79,292
BA,EE - COLEGIO POLIVALENTE DE CONCEICAO DO COITE,PUBLICA,58,475.49,541.6,472.07,491.28,551.75,495.11,22.8,TRUE,29137853,BA,EE - COLEGIO POLIVALENTE DE CONCEICAO DO COITE,public,541.6,475.49,491.28,472.07,495.11,254
BA,EE - COLEGIO POLIVALENTE DE ITAJUIPE,PUBLICA,74,438.86,497.4,432.61,451.74,578.47,455.15,27.9,TRUE,29308747,BA,EE - COLEGIO POLIVALENTE DE ITAJUIPE,public,497.4,438.86,451.74,432.61,455.15,265
BA,EE - COLEGIO POLIVALENTE DE ITANHEM,PUBLICA,90,452.73,498.81,470.56,476.71,580.52,474.7,31.8,TRUE,29322480,BA,EE - COLEGIO POLIVALENTE DE ITANHEM,public,498.81,452.73,476.71,470.56,474.7,283
BA,EE - COLEGIO POLIVALENTE DE MARAGOGIPE,PUBLICA,14,422.62,450.2,453.75,423.93,559.62,437.63,13.9,TRUE,29167671,BA,EE - COLEGIO POLIVALENTE DE MARAGOGIPE,public,450.2,422.62,423.93,453.75,437.63,101
BA,EE - COLEGIO POLIVALENTE DE SAO GONCALO DOS CAMPOS,PUBLICA,46,463.14,519.89,463.79,488.82,602.91,483.91,29.8,TRUE,29110076,BA,EE - COLEGIO POLIVALENTE DE SAO GONCALO DOS CAMPOS,public,519.89,463.14,488.82,463.79,483.91,154
BA,EE - COLEGIO POLIVALENTE DE VITORIA DA CONQUISTA,PUBLICA,96,465.46,525.11,458.72,489.39,586.83,484.67,37.4,TRUE,29277752,BA,EE - COLEGIO POLIVALENTE DE VITORIA DA CONQUISTA,public,525.11,465.46,489.39,458.72,484.67,257
BA,EE - COLEGIO POLIVALENTE DO CABULA,PUBLICA,60,445.34,509.96,435.98,471.76,536.84,465.76,29.8,TRUE,29181631,BA,EE - COLEGIO POLIVALENTE DO CABULA,public,509.96,445.34,471.76,435.98,465.76,201
BA,EE - COLEGIO POLIVALENTE EDIVALDO BOAVENTURA,PUBLICA,113,457.12,521.02,451.38,483.64,590.09,478.29,35.3,TRUE,29228549,BA,EE - COLEGIO POLIVALENTE EDIVALDO BOAVENTURA,public,521.02,457.12,483.64,451.38,478.29,320
BA,EE - COLEGIO POLIVALENTE GOVERNADOR ANTONIO CARLOS MAGALHAES,PUBLICA,126,438.15,492.29,447.87,456.78,551.03,458.77,36.6,TRUE,29063914,BA,EE - COLEGIO POLIVALENTE GOVERNADOR ANTONIO CARLOS MAGALHAES,public,492.29,438.15,456.78,447.87,458.77,344
BA,EE - COLEGIO POLIVALENTE MONSENHOR LUIZ FERREIRA DE BRITO,PUBLICA,188,431.72,475.8,411.29,452.48,549.43,442.82,48,TRUE,29160774,BA,EE - COLEGIO POLIVALENTE MONSENHOR LUIZ FERREIRA DE BRITO,public,475.8,431.72,452.48,411.29,442.82,392
BA,EE - COLEGIO PROFESSORA NILDE MARIA MONTEIRO XAVIER,PUBLICA,38,444.1,504.86,419.14,463.59,530.26,457.92,28.5,TRUE,29217768,BA,EE - COLEGIO PROFESSORA NILDE MARIA MONTEIRO XAVIER,public,504.86,444.1,463.59,419.14,457.92,133
BA,EE - COLEGIO ROTARY,PUBLICA,38,464.4,532.15,465.72,517.94,591.67,495.05,46.9,TRUE,29094798,BA,EE - COLEGIO ROTARY,public,532.15,464.4,517.94,465.72,495.05,81
BA,EE - COLEGIO SANTO ANTONIO DE ARGOIM,PUBLICA,19,430.25,483.19,419.68,436.53,500,442.41,22,TRUE,29441919,BA,EE - COLEGIO SANTO ANTONIO DE ARGOIM,public,483.19,430.25,436.53,419.68,442.41,86
BA,EE - COLEGIO SESQUICENTENARIO - CISO,PUBLICA,110,480.45,543.93,486.28,517.4,626.17,507.02,39.5,TRUE,29304431,BA,EE - COLEGIO SESQUICENTENARIO - CISO,public,543.93,480.45,517.4,486.28,507.02,278
BA,EE - EDUCANDARIO OLIVEIRA BRITO,PUBLICA,83,445.77,511.21,447.86,459.59,579.94,466.11,17.3,TRUE,29117240,BA,EE - EDUCANDARIO OLIVEIRA BRITO,public,511.21,445.77,459.59,447.86,466.11,480
BA,EE - ESCOLA COMUNITARIA ALZAIR MARTINS DA SILVA,PUBLICA,21,410.95,484.73,432.48,448.22,604.76,444.1,14.7,TRUE,29309425,BA,EE - ESCOLA COMUNITARIA ALZAIR MARTINS DA SILVA,public,484.73,410.95,448.22,432.48,444.1,143
BA,EE - ESCOLA COOPERATIVA DE ENSINO FENIX,PUBLICA,17,440.96,501.59,421.51,469.64,560.29,458.43,15.5,TRUE,29093473,BA,EE - ESCOLA COOPERATIVA DE ENSINO FENIX,public,501.59,440.96,469.64,421.51,458.43,110
BA,EE - ESCOLA DE 1º GRAU ANSELMO DA SILVA SANTOS,PUBLICA,26,415.28,481.38,413,442.62,546.15,438.07,24.3,TRUE,29152585,BA,EE - ESCOLA DE 1º GRAU ANSELMO DA SILVA SANTOS,public,481.38,415.28,442.62,413,438.07,107
BA,EE - ESCOLA DE 1º GRAU JONIVAL LUCAS,PUBLICA,45,409.71,449.02,384.45,398.84,511.63,410.5,47.9,TRUE,29174180,BA,EE - ESCOLA DE 1º GRAU JONIVAL LUCAS,public,449.02,409.71,398.84,384.45,410.5,94
BA,EE - ESCOLA DO CENTRO DE ASSISTENCIA SOCIAL SANTO ANTONIO,PUBLICA,136,477.7,520.6,469.91,498.51,580.04,491.68,49.2,TRUE,29094216,BA,EE - ESCOLA DO CENTRO DE ASSISTENCIA SOCIAL SANTO ANTONIO,public,520.6,477.7,498.51,469.91,491.68,276
BA,EE - ESCOLA EDGAR SANTOS,PUBLICA,15,411.57,468.84,376.42,414.17,548.21,417.75,44.1,TRUE,29081815,BA,EE - ESCOLA EDGAR SANTOS,public,468.84,411.57,414.17,376.42,417.75,34
BA,EE - ESCOLA ESTADUAL AGROTECNICA DE JEREMOABO,PUBLICA,28,453.81,519.26,468.17,462.94,556.73,476.04,45.9,TRUE,29436931,BA,EE - ESCOLA ESTADUAL AGROTECNICA DE JEREMOABO,public,519.26,453.81,462.94,468.17,476.04,61
BA,EE - ESCOLA ESTADUAL ANTONIO CARLOS MAGALHAES,PUBLICA,18,411.28,470.79,420.07,434.02,543.06,434.04,31.3,TRUE,29323800,BA,EE - ESCOLA ESTADUAL ANTONIO CARLOS MAGALHAES,public,470.79,411.28,434.02,420.07,434.04,58
BA,EE - ESCOLA ESTADUAL BENTO ALVES DAS NEVES,PUBLICA,20,421.43,482.79,413.26,417.72,552.78,433.8,23.3,TRUE,29336082,BA,EE - ESCOLA ESTADUAL BENTO ALVES DAS NEVES,public,482.79,421.43,417.72,413.26,433.8,86
BA,EE - ESCOLA ESTADUAL CORONEL JERONIMO RODRIGUES RIBEIRO,PUBLICA,15,439.27,489.34,431.83,426.67,508.33,446.78,38.5,TRUE,29124964,BA,EE - ESCOLA ESTADUAL CORONEL JERONIMO RODRIGUES RIBEIRO,public,489.34,439.27,426.67,431.83,446.78,39
BA,EE - ESCOLA ESTADUAL DE BARRA DO TARRACHIL,PUBLICA,35,412.38,430.93,399.19,420.73,533.82,415.81,57.4,TRUE,29033187,BA,EE - ESCOLA ESTADUAL DE BARRA DO TARRACHIL,public,430.93,412.38,420.73,399.19,415.81,61
BA,EE - ESCOLA ESTADUAL DOUTOR ANTONIO CARLOS MAGALHAES,PUBLICA,34,467.85,506.67,424.41,472.23,583.82,467.79,22.7,TRUE,29112699,BA,EE - ESCOLA ESTADUAL DOUTOR ANTONIO CARLOS MAGALHAES,public,506.67,467.85,472.23,424.41,467.79,150
BA,EE - ESCOLA ESTADUAL DOUTOR FLORIVAL FRANCISCO DE JESUS,PUBLICA,13,410.15,474.48,426.32,420.65,598.08,432.9,13.7,TRUE,29306680,BA,EE - ESCOLA ESTADUAL DOUTOR FLORIVAL FRANCISCO DE JESUS,public,474.48,410.15,420.65,426.32,432.9,95
BA,EE - ESCOLA ESTADUAL EDUARDO CATALAO,PUBLICA,21,434.08,497.9,458.28,448.64,583.75,459.73,29.2,TRUE,29302218,BA,EE - ESCOLA ESTADUAL EDUARDO CATALAO,public,497.9,434.08,448.64,458.28,459.73,72
BA,EE - ESCOLA ESTADUAL PROFESSORA IRENE CAMPOS DOS SANTOS,PUBLICA,25,392.57,440,403.26,382.66,516.67,404.62,83.3,TRUE,29021669,BA,EE - ESCOLA ESTADUAL PROFESSORA IRENE CAMPOS DOS SANTOS,public,440,392.57,382.66,403.26,404.62,30
BA,EE - ESCOLA ESTADUAL PROFESSORA JANE ASSIS PEIXOTO,PUBLICA,21,418.23,468.83,460.62,455.68,538.75,450.84,13,TRUE,29325803,BA,EE - ESCOLA ESTADUAL PROFESSORA JANE ASSIS PEIXOTO,public,468.83,418.23,455.68,460.62,450.84,162
BA,EE - ESCOLA ESTADUAL ROLANDO LARANJEIRA BARBOSA,PUBLICA,19,427.44,479.88,397.2,406.93,486.84,427.86,9.7,TRUE,29015227,BA,EE - ESCOLA ESTADUAL ROLANDO LARANJEIRA BARBOSA,public,479.88,427.44,406.93,397.2,427.86,196
BA,EE - ESCOLA ESTADUAL RUY BARBOSA,PUBLICA,14,416.83,465.36,418.55,433.72,507.14,433.62,10.9,TRUE,29011507,BA,EE - ESCOLA ESTADUAL RUY BARBOSA,public,465.36,416.83,433.72,418.55,433.62,128
BA,EE - ESCOLA ESTADUAL WILSON PEREIRA,PUBLICA,56,456.35,504.06,433.4,475.83,594.2,467.41,30.8,TRUE,29332230,BA,EE - ESCOLA ESTADUAL WILSON PEREIRA,public,504.06,456.35,475.83,433.4,467.41,182
BA,EE - ESCOLA FAMILIA AGRICOLA DE RIACHO DE SANTANA,PUBLICA,24,416.8,467.65,413.09,417.65,546.43,428.8,80,TRUE,29252830,BA,EE - ESCOLA FAMILIA AGRICOLA DE RIACHO DE SANTANA,public,467.65,416.8,417.65,413.09,428.8,30
BA,EE - ESCOLA NORMAL DE SERRINHA,PUBLICA,107,455.24,511.26,453.55,477.25,586.65,474.32,23.7,TRUE,29146151,BA,EE - ESCOLA NORMAL DE SERRINHA,public,511.26,455.24,477.25,453.55,474.32,451
BA,EE - ESCOLA NORMAL ESTADUAL EDIVALDO MACHADO BOAVENTURA,PUBLICA,24,431.1,472.49,432.81,451.93,548.96,447.08,16.6,TRUE,29024803,BA,EE - ESCOLA NORMAL ESTADUAL EDIVALDO MACHADO BOAVENTURA,public,472.49,431.1,451.93,432.81,447.08,145
BA,EE - ESCOLA POLIVALENTE DE ARATU,PUBLICA,23,435.4,502.84,434.93,465.4,525,459.65,14.9,TRUE,29201373,BA,EE - ESCOLA POLIVALENTE DE ARATU,public,502.84,435.4,465.4,434.93,459.65,154
